,REG_DATE,concept:name,AMOUNT_REQ
0,2011-10-01 00:38:44.546000+02:00,173688,20000
1,2011-10-01 08:08:58.256000+02:00,173691,5000
2,2011-10-01 08:10:30.287000+02:00,173694,7000
3,2011-10-01 08:11:08.865000+02:00,173697,15000
4,2011-10-01 08:15:39.894000+02:00,173700,5000
5,2011-10-01 09:45:25.806000+02:00,173703,13500
6,2011-10-01 09:45:37.274000+02:00,173706,18000
7,2011-10-01 09:57:42.994000+02:00,173709,11000
8,2011-10-01 09:58:30.533000+02:00,173712,30000
9,2011-10-01 09:59:10.501000+02:00,173715,45000
10,2011-10-01 10:37:39.362000+02:00,173718,15000
11,2011-10-01 11:07:34.279000+02:00,173721,9000
12,2011-10-01 11:52:14.305000+02:00,173724,15000
13,2011-10-01 12:08:46.663000+02:00,173727,10000
14,2011-10-01 12:36:08.943000+02:00,173730,15000
15,2011-10-01 12:39:34.037000+02:00,173733,6000
16,2011-10-01 13:01:58.813000+02:00,173736,15000
17,2011-10-01 13:12:58.663000+02:00,173739,10000
18,2011-10-01 13:44:12.626000+02:00,173742,6000
19,2011-10-01 14:08:16.293000+02:00,173745,2000
20,2011-10-01 14:09:16.087000+02:00,173748,5000
21,2011-10-01 14:14:39.442000+02:00,173751,10000
22,2011-10-01 14:50:09.763000+02:00,173754,20000
23,2011-10-01 15:02:58.635000+02:00,173757,25000
24,2011-10-01 15:15:17.454000+02:00,173760,32000
25,2011-10-01 16:09:22.741000+02:00,173763,4000
26,2011-10-01 16:12:02.338000+02:00,173766,2000
27,2011-10-01 16:34:46.837000+02:00,173769,10000
28,2011-10-01 16:39:55.798000+02:00,173772,3000
29,2011-10-01 16:59:00.006000+02:00,173775,10000
30,2011-10-01 17:49:31.297000+02:00,173778,10000
31,2011-10-01 18:10:34.289000+02:00,173781,1500
32,2011-10-01 19:05:56.897000+02:00,173784,5000
33,2011-10-01 19:06:01.646000+02:00,173787,5000
34,2011-10-01 19:14:15.425000+02:00,173790,5000
35,2011-10-01 19:32:46.330000+02:00,173793,6000
36,2011-10-01 20:19:11.828000+02:00,173796,15000
37,2011-10-01 20:27:34.477000+02:00,173799,10000
38,2011-10-01 20:35:21.093000+02:00,173802,25000
39,2011-10-01 21:07:54.696000+02:00,173805,5000
40,2011-10-01 21:24:58.958000+02:00,173808,4000
41,2011-10-01 22:59:29.233000+02:00,173811,50000
42,2011-10-01 23:01:43.529000+02:00,173814,14542
43,2011-10-02 00:57:28.742000+02:00,173817,7000
44,2011-10-02 01:39:06.969000+02:00,173820,7500
45,2011-10-02 09:23:29.387000+02:00,173823,15000
46,2011-10-02 09:39:10.811000+02:00,173826,13000
47,2011-10-02 09:54:34.096000+02:00,173829,5000
48,2011-10-02 09:54:39.910000+02:00,173832,10000
49,2011-10-02 10:20:29.934000+02:00,173835,10000
50,2011-10-02 10:52:41.358000+02:00,173838,8000
51,2011-10-02 10:57:22.697000+02:00,173841,10000
52,2011-10-02 11:03:26.714000+02:00,173844,15500
53,2011-10-02 11:26:19.625000+02:00,173847,5000
54,2011-10-02 11:30:23.255000+02:00,173850,6500
55,2011-10-02 11:33:24.421000+02:00,173853,7500
56,2011-10-02 11:45:33.566000+02:00,173856,12000
57,2011-10-02 11:47:41.502000+02:00,173859,5000
58,2011-10-02 12:04:39.114000+02:00,173862,10000
59,2011-10-02 12:17:02.797000+02:00,173865,5000
60,2011-10-02 12:24:18.960000+02:00,173868,5000
61,2011-10-02 13:05:34.993000+02:00,173871,15500
62,2011-10-02 13:10:37.309000+02:00,173874,12500
63,2011-10-02 13:21:47.147000+02:00,173877,29387
64,2011-10-02 13:24:15.505000+02:00,173880,50000
65,2011-10-02 13:46:35.860000+02:00,173883,2500
66,2011-10-02 13:52:34.123000+02:00,173886,3000
67,2011-10-02 14:42:12.094000+02:00,173889,7500
68,2011-10-02 14:53:44.931000+02:00,173892,15000
69,2011-10-02 16:03:10.034000+02:00,173895,5500
70,2011-10-02 16:05:39.817000+02:00,173898,7000
71,2011-10-02 16:12:08.647000+02:00,173901,5750
72,2011-10-02 16:52:36.497000+02:00,173904,5000
73,2011-10-02 16:53:33+02:00,173907,5000
74,2011-10-02 17:17:43.476000+02:00,173910,4000
75,2011-10-02 17:18:05.023000+02:00,173913,5500
76,2011-10-02 17:45:59.197000+02:00,173916,2500
77,2011-10-02 17:55:10.791000+02:00,173919,4000
78,2011-10-02 17:56:36.477000+02:00,173922,15000
79,2011-10-02 18:00:06.036000+02:00,173925,5000
80,2011-10-02 18:30:01.576000+02:00,173928,33000
81,2011-10-02 19:27:33.681000+02:00,173931,8000
82,2011-10-02 20:05:03.215000+02:00,173934,15000
83,2011-10-02 21:07:34.738000+02:00,173937,6000
84,2011-10-02 21:08:02.233000+02:00,173940,7000
85,2011-10-02 22:11:52.060000+02:00,173943,7493
86,2011-10-02 22:51:17.311000+02:00,173946,8000
87,2011-10-02 23:12:15.824000+02:00,173949,50000
88,2011-10-02 23:13:39.885000+02:00,173952,5000
89,2011-10-02 23:15:19.164000+02:00,173955,10000
90,2011-10-02 23:18:42.230000+02:00,173958,12500
91,2011-10-02 23:19:50.916000+02:00,173961,25000
92,2011-10-02 23:43:30.528000+02:00,173964,60000
93,2011-10-03 08:09:57.957000+02:00,173979,30000
94,2011-10-03 09:30:51.798000+02:00,173982,8000
95,2011-10-03 09:34:18.390000+02:00,173985,5800
96,2011-10-03 09:52:42.796000+02:00,173988,10000
97,2011-10-03 10:07:17.625000+02:00,173991,5000
98,2011-10-03 10:33:48.188000+02:00,173994,2000
99,2011-10-03 10:38:11.406000+02:00,173997,50000
100,2011-10-03 10:39:02.381000+02:00,174000,20000
101,2011-10-03 10:58:38.241000+02:00,174003,45265
102,2011-10-03 10:59:25.078000+02:00,174006,7500
103,2011-10-03 11:00:00.545000+02:00,174009,7000
104,2011-10-03 11:06:41.562000+02:00,174012,7500
105,2011-10-03 11:19:52.727000+02:00,174015,7500
106,2011-10-03 11:21:10.598000+02:00,174018,25000
107,2011-10-03 11:33:52.835000+02:00,174021,5000
108,2011-10-03 11:48:34.346000+02:00,174024,5000
109,2011-10-03 11:52:28.134000+02:00,174027,10000
110,2011-10-03 11:55:53.417000+02:00,174030,25000
111,2011-10-03 12:01:34.103000+02:00,174033,15000
112,2011-10-03 12:02:51.303000+02:00,174036,15000
113,2011-10-03 12:09:32.997000+02:00,174039,26000
114,2011-10-03 12:10:17.984000+02:00,174042,7500
115,2011-10-03 12:15:14.680000+02:00,174045,25000
116,2011-10-03 12:25:48.443000+02:00,174048,10000
117,2011-10-03 12:27:32.920000+02:00,174051,10500
118,2011-10-03 12:35:21.255000+02:00,174054,46000
119,2011-10-03 12:47:46.582000+02:00,174057,5000
120,2011-10-03 12:55:00.597000+02:00,174060,6000
121,2011-10-03 12:59:32.674000+02:00,174063,4000
122,2011-10-03 13:01:28.216000+02:00,174066,5000
123,2011-10-03 13:05:44.225000+02:00,174069,43640
124,2011-10-03 13:18:01.581000+02:00,174072,10000
125,2011-10-03 13:22:34.340000+02:00,174075,6000
126,2011-10-03 13:23:45.900000+02:00,174078,10000
127,2011-10-03 13:26:11.439000+02:00,174081,7500
128,2011-10-03 13:26:26.927000+02:00,174084,8400
129,2011-10-03 13:46:48.075000+02:00,174087,15000
130,2011-10-03 13:50:01.312000+02:00,174090,20000
131,2011-10-03 13:54:15.910000+02:00,174093,21000
132,2011-10-03 14:10:56.279000+02:00,174096,5000
133,2011-10-03 14:17:13.043000+02:00,174099,15000
134,2011-10-03 14:22:13.947000+02:00,174102,4000
135,2011-10-03 14:24:26.607000+02:00,174105,5000
136,2011-10-03 14:31:34.141000+02:00,174108,10000
137,2011-10-03 14:49:07.819000+02:00,174111,2500
138,2011-10-03 14:54:54.511000+02:00,174114,8950
139,2011-10-03 15:14:36.133000+02:00,174117,7500
140,2011-10-03 15:33:26.135000+02:00,174120,20000
141,2011-10-03 16:15:28.356000+02:00,174123,2500
142,2011-10-03 16:21:35.946000+02:00,174126,5000
143,2011-10-03 16:35:06.773000+02:00,174129,4000
144,2011-10-03 16:37:06.797000+02:00,174132,5000
145,2011-10-03 16:38:31.556000+02:00,174135,15000
146,2011-10-03 16:43:26.043000+02:00,174138,5000
147,2011-10-03 16:59:27.008000+02:00,174141,10600
148,2011-10-03 17:00:30.443000+02:00,174144,21000
149,2011-10-03 17:01:05.207000+02:00,174147,12500
150,2011-10-03 17:29:01.764000+02:00,174150,17000
151,2011-10-03 17:44:16.829000+02:00,174153,1000
152,2011-10-03 17:47:40.647000+02:00,174156,11500
153,2011-10-03 17:58:26.990000+02:00,174159,40000
154,2011-10-03 18:07:45.220000+02:00,174162,4000
155,2011-10-03 18:12:27.506000+02:00,174165,5000
156,2011-10-03 18:22:09.146000+02:00,174168,7897
157,2011-10-03 18:35:13.600000+02:00,174171,15000
158,2011-10-03 18:45:47.787000+02:00,174174,20000
159,2011-10-03 18:50:20.917000+02:00,174177,5000
160,2011-10-03 18:51:38.607000+02:00,174180,20000
161,2011-10-03 19:15:09.340000+02:00,174183,10000
162,2011-10-03 19:17:45.153000+02:00,174186,15000
163,2011-10-03 19:27:36.572000+02:00,174189,10000
164,2011-10-03 19:30:21.246000+02:00,174192,5000
165,2011-10-03 19:32:45.026000+02:00,174195,1600
166,2011-10-03 19:33:25.154000+02:00,174198,7500
167,2011-10-03 19:34:18.767000+02:00,174201,5867
168,2011-10-03 19:37:51.638000+02:00,174204,23000
169,2011-10-03 19:45:53.178000+02:00,174207,70000
170,2011-10-03 19:47:24.100000+02:00,174210,6000
171,2011-10-03 19:55:30.411000+02:00,174213,10000
172,2011-10-03 19:58:04.065000+02:00,174216,6000
173,2011-10-03 19:59:01.757000+02:00,174219,32000
174,2011-10-03 20:08:29.705000+02:00,174222,8000
175,2011-10-03 20:08:34.471000+02:00,174225,7500
176,2011-10-03 20:10:32.044000+02:00,174228,30000
177,2011-10-03 20:10:41.221000+02:00,174231,6000
178,2011-10-03 20:18:50.836000+02:00,174234,17500
179,2011-10-03 20:25:07.831000+02:00,174237,15000
180,2011-10-03 20:26:10.208000+02:00,174240,13000
181,2011-10-03 20:39:00.599000+02:00,174243,3000
182,2011-10-03 20:43:04.557000+02:00,174246,15000
183,2011-10-03 20:53:03.071000+02:00,174249,31500
184,2011-10-03 20:59:10.326000+02:00,174252,30000
185,2011-10-03 20:59:23.114000+02:00,174255,15000
186,2011-10-03 21:00:28.173000+02:00,174258,24000
187,2011-10-03 21:03:04.908000+02:00,174261,10000
188,2011-10-03 21:03:33.112000+02:00,174264,12000
189,2011-10-03 21:10:53.005000+02:00,174267,15000
190,2011-10-03 21:17:09.458000+02:00,174270,6000
191,2011-10-03 21:18:52.493000+02:00,174273,10000
192,2011-10-03 21:19:56.055000+02:00,174276,6000
193,2011-10-03 22:04:06.129000+02:00,174279,10000
194,2011-10-03 22:48:48.829000+02:00,174282,6000
195,2011-10-03 22:59:48.324000+02:00,174285,50000
196,2011-10-03 23:23:17.739000+02:00,174288,16000
197,2011-10-03 23:31:43.141000+02:00,174291,15000
198,2011-10-03 23:33:35.571000+02:00,174294,25000
199,2011-10-03 23:47:56.655000+02:00,174297,30870
200,2011-10-04 01:35:22.134000+02:00,174300,15000
201,2011-10-04 01:40:44.557000+02:00,174303,11500
202,2011-10-04 06:38:49.114000+02:00,174319,5000
203,2011-10-04 08:30:53.745000+02:00,174322,15000
204,2011-10-04 08:50:41.940000+02:00,174325,15000
205,2011-10-04 08:59:17.307000+02:00,174328,7000
206,2011-10-04 09:15:32.331000+02:00,174331,20000
207,2011-10-04 09:31:17.618000+02:00,174334,5000
208,2011-10-04 10:04:38.573000+02:00,174337,30000
209,2011-10-04 10:09:42.403000+02:00,174340,7000
210,2011-10-04 10:17:53.166000+02:00,174343,10000
211,2011-10-04 10:40:24.794000+02:00,174346,16500
212,2011-10-04 10:42:14.732000+02:00,174349,7000
213,2011-10-04 11:20:03.569000+02:00,174352,5000
214,2011-10-04 11:31:48.491000+02:00,174355,500
215,2011-10-04 11:34:32.396000+02:00,174358,6000
216,2011-10-04 11:46:10.433000+02:00,174361,25000
217,2011-10-04 11:47:28.903000+02:00,174364,9000
218,2011-10-04 11:53:46.151000+02:00,174367,30000
219,2011-10-04 12:18:24.121000+02:00,174370,7500
220,2011-10-04 12:26:56.966000+02:00,174373,10000
221,2011-10-04 12:54:54.707000+02:00,174376,5000
222,2011-10-04 13:09:13.263000+02:00,174379,9500
223,2011-10-04 13:11:45.190000+02:00,174382,5000
224,2011-10-04 13:28:34.154000+02:00,174385,15000
225,2011-10-04 13:35:05.938000+02:00,174388,6000
226,2011-10-04 13:38:28.689000+02:00,174391,15000
227,2011-10-04 13:48:21.435000+02:00,174394,10000
228,2011-10-04 13:49:31.787000+02:00,174397,20000
229,2011-10-04 13:57:21.960000+02:00,174400,10000
230,2011-10-04 13:57:47.188000+02:00,174403,25000
231,2011-10-04 14:03:40.025000+02:00,174406,11300
232,2011-10-04 14:06:12.499000+02:00,174409,25000
233,2011-10-04 14:16:42.519000+02:00,174412,20000
234,2011-10-04 14:26:44.050000+02:00,174415,12000
235,2011-10-04 14:30:20.084000+02:00,174418,21000
236,2011-10-04 14:34:17.239000+02:00,174421,18000
237,2011-10-04 14:36:20.235000+02:00,174424,15000
238,2011-10-04 14:40:34.389000+02:00,174427,17000
239,2011-10-04 14:55:27.822000+02:00,174430,20000
240,2011-10-04 15:02:02.519000+02:00,174433,7000
241,2011-10-04 15:20:41.976000+02:00,174436,15000
242,2011-10-04 15:31:27.240000+02:00,174439,5000
243,2011-10-04 15:46:37.565000+02:00,174442,14461
244,2011-10-04 16:10:03.773000+02:00,174445,15000
245,2011-10-04 16:11:46.449000+02:00,174448,8500
246,2011-10-04 16:12:48.787000+02:00,174451,7500
247,2011-10-04 16:20:50.915000+02:00,174454,7500
248,2011-10-04 16:53:24.147000+02:00,174457,2500
249,2011-10-04 16:55:35.171000+02:00,174460,13000
250,2011-10-04 16:57:48.978000+02:00,174463,25000
251,2011-10-04 17:13:53.779000+02:00,174466,2500
252,2011-10-04 17:22:46.985000+02:00,174469,10000
253,2011-10-04 17:31:01.440000+02:00,174472,10406
254,2011-10-04 17:36:34.190000+02:00,174475,10000
255,2011-10-04 18:16:59.828000+02:00,174478,15000
256,2011-10-04 18:28:39.615000+02:00,174481,15000
257,2011-10-04 18:34:48.685000+02:00,174484,41000
258,2011-10-04 19:08:01.566000+02:00,174487,6100
259,2011-10-04 19:15:11.455000+02:00,174490,18500
260,2011-10-04 19:21:32.230000+02:00,174493,29000
261,2011-10-04 19:36:15.971000+02:00,174496,9612
262,2011-10-04 20:00:44.849000+02:00,174499,10000
263,2011-10-04 20:02:18.954000+02:00,174502,10000
264,2011-10-04 20:24:46.122000+02:00,174505,5000
265,2011-10-04 20:26:10.025000+02:00,174508,5000
266,2011-10-04 20:47:30.485000+02:00,174511,14000
267,2011-10-04 20:49:57.667000+02:00,174514,42000
268,2011-10-04 21:09:50.738000+02:00,174517,6500
269,2011-10-04 21:14:13.425000+02:00,174520,20000
270,2011-10-04 21:29:17.060000+02:00,174523,2600
271,2011-10-04 21:34:34.414000+02:00,174526,14000
272,2011-10-04 21:36:05.945000+02:00,174529,50000
273,2011-10-04 21:37:45.287000+02:00,174532,10000
274,2011-10-04 21:48:56.920000+02:00,174535,15000
275,2011-10-04 22:12:51.081000+02:00,174538,5000
276,2011-10-04 22:40:24.865000+02:00,174541,25000
277,2011-10-04 22:44:46.344000+02:00,174544,5600
278,2011-10-04 22:52:56.033000+02:00,174547,9200
279,2011-10-04 23:22:39.434000+02:00,174559,10000
280,2011-10-04 23:34:04.353000+02:00,174562,5000
281,2011-10-04 23:34:17.713000+02:00,174565,5000
282,2011-10-04 23:49:56.529000+02:00,174568,5000
283,2011-10-05 01:08:43.637000+02:00,174571,5600
284,2011-10-05 02:19:34.009000+02:00,174574,7000
285,2011-10-05 05:09:09.098000+02:00,174577,15000
286,2011-10-05 07:28:42.776000+02:00,174599,23112
287,2011-10-05 09:27:11.793000+02:00,174602,6000
288,2011-10-05 09:29:05.549000+02:00,174605,10000
289,2011-10-05 09:31:11.354000+02:00,174608,2500
290,2011-10-05 09:32:28.380000+02:00,174611,5000
291,2011-10-05 09:33:55.785000+02:00,174614,10000
292,2011-10-05 09:48:01.271000+02:00,174617,40000
293,2011-10-05 09:48:54.283000+02:00,174620,15000
294,2011-10-05 09:51:54.550000+02:00,174623,5000
295,2011-10-05 09:56:53.311000+02:00,174626,50000
296,2011-10-05 10:00:20.578000+02:00,174629,50000
297,2011-10-05 10:03:21.314000+02:00,174632,20000
298,2011-10-05 10:12:34.268000+02:00,174635,7000
299,2011-10-05 10:28:41.636000+02:00,174638,6000
300,2011-10-05 10:38:39.216000+02:00,174641,23000
301,2011-10-05 10:43:19.578000+02:00,174644,12500
302,2011-10-05 10:43:30.287000+02:00,174647,10000
303,2011-10-05 10:45:43.350000+02:00,174650,7500
304,2011-10-05 11:15:02.977000+02:00,174653,12000
305,2011-10-05 11:15:14.887000+02:00,174656,20000
306,2011-10-05 11:29:25.763000+02:00,174659,37000
307,2011-10-05 12:04:11.872000+02:00,174662,7500
308,2011-10-05 12:09:54.063000+02:00,174665,250
309,2011-10-05 12:14:13.669000+02:00,174668,20000
310,2011-10-05 12:26:38.340000+02:00,174671,18000
311,2011-10-05 12:33:42.501000+02:00,174674,5000
312,2011-10-05 12:37:42.951000+02:00,174677,4500
313,2011-10-05 12:38:35.099000+02:00,174680,23000
314,2011-10-05 12:42:49.227000+02:00,174683,5000
315,2011-10-05 12:50:11.118000+02:00,174686,7500
316,2011-10-05 12:51:55.431000+02:00,174689,6000
317,2011-10-05 12:54:30.958000+02:00,174692,10000
318,2011-10-05 12:55:35.233000+02:00,174695,8000
319,2011-10-05 13:06:36.655000+02:00,174698,3500
320,2011-10-05 13:07:23.624000+02:00,174701,5000
321,2011-10-05 13:13:30.452000+02:00,174704,20000
322,2011-10-05 13:20:47.567000+02:00,174707,12000
323,2011-10-05 13:22:12.052000+02:00,174710,15000
324,2011-10-05 13:32:25.592000+02:00,174713,5000
325,2011-10-05 13:38:04.350000+02:00,174716,15000
326,2011-10-05 13:45:19.280000+02:00,174719,12000
